축제명,축제 유형,개최 장소,,개최기간,,,,,,,공연 날짜,방문객수
,,지역,,시작일,,,종료일,,,"총
일수",,전체
,,시군구,읍면동,년,월,일,년,월,일,,,
2025년 평창백일홍축제,자연생태,평창군,평창읍,2024,9,13,2024,9,22,10,,"117,920"
2025년 대관령눈꽃축제,자연생태,평창군,대관령면,2024,1,27,2024,2,11,16,,"82,695"
정선동강할미꽃축제,자연생태,정선군,정선읍,2024,3,22,2024,3,24,3,,"20,000"
로컬푸드축제,지역특산물,정선군,북평면,2024,4,19,2024,4,21,3,,"60,000"
두위봉철쭉축제,자연생태,정선군,신동읍,2024,6,8,2024,6,8,1,,"60,000"
정선 함백산 야생화축제,자연생태,정선군,고한읍,2024,7,27,2024,8,4,9,,"150,000"
아우라지 뗏목축제,전통역사,정선군,여량면,2024,7,26,2024,7,27,2,,"50,000"
사북석탄문화제,주민화합,정선군,사북읍,2024,8,2,2024,8,4,3,,"10,000"
벚꽃축제,자연생태,정선군,북평면,2024,4,13,2024,4,13,1,,"30,000"
항골 숨바우길 트레킹 대회,자연생태,정선군,북평면,2024,10,26,2024,10,26,1,,"15,000"
제50회 정선아리랑제,전통역사,정선군,정선읍,2024,10,2,2024,10,5,4,"2, 5","111,939"
제13회 철원 한탄강 얼음트레킹 축제,자연생태,철원군,동송읍,2024,1,13,2024,1,21,9,,"100,000"
제18회 철원 화강 다슬기 축제,자연생태,철원군,김화읍,2024,8,1,2024,8,4,4,"1, 2, 3, 4","200,000"
제42회 태봉제,전통역사,철원군,갈말읍,2024,10,3,2024,10,5,3,"3, 4","45,000"
제21회 화천토마토축제,지역특산물,화천군,사내면,2024,8,1,2024,8,4,4,,"133,518"
2025 청춘양구 곰취축제,지역특산물,양구군,양구읍,2024,5,3,2024,5,6,4,,"83,821"
2025 국토정중앙 청춘양구 배꼽축제,문화예술,양구군,양구읍,2024,8,30,2024,9,1,3,"30, 31","68,251"
2025 청춘양구 펀치볼시래기사과축제,지역특산물,양구군,해안면,2024,11,1,2024,11,3,3,2,"43,441"
국토정중앙 양구 보름달 축제,문화예술,양구군,국토정중앙면,2024,9,16,2024,9,17,2,,769
2025 인제 가을꽃축제,자연생태,인제군,북면,2024,9,28,2024,10,20,23,"28, 5, 19","250,000"
만해축전,문화예술,인제군,북면,2024,8,22,2024,8,22,1,,"30,000"
합강문화제,주민화합,인제군,인제읍,2024,10,11,2024,10,13,3,12,"30,000"
용대황태축제,자연생태,인제군,북면,2024,5,4,2024,5,6,3,,"20,000"
하추리도리깨축제,자연생태,인제군,인제읍,2024,10,26,2024,10,27,2,,"8,000"
인제천리길걷기축제,자연생태,인제군,북면,2024,10,19,2024,10,20,2,,400
제25회 고성통일명태축제,전통역사,고성군,거진읍,2024,10,11,2024,10,13,3,"11, 13","97,000"
춘천막국수닭갈비축제,지역특산물,춘천시,강남동,2025,10,16,2025,10,19,4,"16, 17, 18, 19","300,000"
춘천아트페어 아르로드 R.OAD,문화예술,춘천시,옥천동,2025,6,6,2025,6,11,6,,"3,000"
춘천영화제,문화예술,춘천시,옥천동,2025,6,26,2025,6,29,4,,"3,285"
2026 공연예술제,문화예술,춘천시,약사명동,2025,8,12,2025,8,16,4,,625
춘천 오페라 페스티벌,문화예술,춘천시,"삼천동,효자동",2025,8,22,2025,8,23,2,,"2,300"
2026 온세대합창페스티벌,문화예술,춘천시,"효자동,삼천동",2025,8,23,2025,8,30,8,,"6,908"
춘천커피축제,문화예술,춘천시,온의동,2025,10,9,2025,10,11,3,,"40,000"
2026 춘천 반려동물 페스티벌,문화예술,춘천시,서면,2025,9,13,2025,9,14,2,,"10,000"
2026년 제5회 강원한우데이,지역특산물,춘천시,옥천동,2025,6,13,2025,6,15,3,,"1,100"
제6회 춘천 술 페스타,문화예술,춘천시,삼천동,2025,9,26,2025,9,27,2,,"25,232"
춘천 애니토이페스티벌,문화예술,춘천시,서면,2025,10,17,2025,10,19,3,,"28,745"
춘천 감자페스타,지역특산물,춘천시,신북읍,2025,6,21,2025,6,22,2,,"24,000"
2026 댄싱카니발,문화예술,원주시,명륜동,2025,9,26,2025,9,28,3,"26, 27, 28","198,864"
원주 한지문화제,문화예술,원주시,무실동,2025,5,1,2025,5,5,5,,"34,500"
용수골꽃양귀비축제,자연생태,원주시,판부면,2025,5,22,2025,6,8,19,,"56,791"
