festival_name,dong_name,lat,lng,address,matched
제3회 발한칼국수 축제,발한동,37.5484323855262,129.107922043297,강원특별자치도 동해시 발한동,강원특별자치도 동해시 발한동
제32회 태백산 눈축제,,,,,
제10회 한강낙동강발원지 축제,황지동,37.1708021030532,128.991626609858,강원특별자치도 태백시 황지동,강원특별자치도 태백시 황지동
2025 영랑호 벚꽃축제,금호동,38.2084328043156,128.581820407059,강원특별자치도 속초시 금호동,강원특별자치도 속초시 금호동
2025 설악무산문화축전,조양동,38.1876460540134,128.590848362527,강원특별자치도 속초시 조양동,강원특별자치도 속초시 조양동
2025 실향민 문화축제,조양동,38.1876460540134,128.590848362527,강원특별자치도 속초시 조양동,강원특별자치도 속초시 조양동
2025 속초썸머페스티벌,조양동,38.1876460540134,128.590848362527,강원특별자치도 속초시 조양동,강원특별자치도 속초시 조양동
제60회 설악문화제,,,,,
2025 속초음식축제(마숩다!속초),조양동,38.1876460540134,128.590848362527,강원특별자치도 속초시 조양동,강원특별자치도 속초시 조양동
삼척정원대보름제,,,,,
제21회 삼척맹방유채꽃축제,근덕면,37.3792784455933,129.225825562476,강원특별자치도 삼척시 근덕면,강원특별자치도 삼척시 근덕면
삼척 장미축제,정상동,37.4391833650494,129.178906818822,강원특별자치도 삼척시 정상동,강원특별자치도 삼척시 정상동
삼척동해왕이사부축제,성대동,,,,
"제16회 삼척평생학습박람회 및 
 제6회 책축제",성내동,37.4420248647505,129.161337101096,강원특별자치도 삼척시 성내동,강원특별자치도 삼척시 성내동
2025 삼척 문화유산 야행,성내동,37.4420248647505,129.161337101096,강원특별자치도 삼척시 성내동,강원특별자치도 삼척시 성내동
제13회 홍천강 꽁꽁축제,홍천읍,37.68943404802,127.884306327398,강원특별자치도 홍천군 홍천읍,강원특별자치도 홍천군 홍천읍
제7회 홍천산나물축제,홍천읍,37.68943404802,127.884306327398,강원특별자치도 홍천군 홍천읍,강원특별자치도 홍천군 홍천읍
