datetime,hour,STN,TA,RN,SD_TOT
2023-08-17,8,131,25.7,0.0,
2023-08-17,9,131,27.0,0.0,
2023-08-17,10,131,27.5,0.0,
2023-08-17,11,131,28.7,0.0,
2023-08-17,12,131,29.4,0.0,
2023-08-17,13,131,30.7,0.0,
2023-08-17,14,131,31.1,0.0,
2023-08-17,15,131,31.0,0.0,
2023-08-17,16,131,31.8,0.0,
2023-08-17,17,131,31.2,0.0,
2023-08-17,18,131,30.8,0.0,
2023-08-17,19,131,30.1,0.0,
2023-08-17,20,131,29.2,0.0,
2023-08-17,21,131,29.1,0.0,
2023-08-17,22,131,29.1,0.0,
2023-08-17,23,131,28.5,0.0,
2023-08-18,0,131,28.2,0.0,
2023-08-18,1,131,27.2,0.0,
2023-08-18,2,131,26.9,0.0,
2023-08-18,3,131,26.7,0.0,
2023-08-18,4,131,26.7,0.0,
2023-08-18,5,131,26.0,0.0,
2023-08-18,6,131,26.0,0.0,
2023-08-18,7,131,26.4,0.0,
2023-08-18,8,131,27.3,0.0,
2023-08-18,9,131,28.6,0.0,
2023-08-18,10,131,30.3,0.0,
2023-08-18,11,131,31.6,0.0,
2023-08-18,12,131,32.1,0.0,
2023-08-18,13,131,32.2,0.0,
2023-08-18,14,131,32.2,0.0,
2023-08-18,15,131,27.0,20.9,
2023-08-18,16,131,29.6,2.2,
2023-08-18,17,131,32.3,0.0,
2023-08-18,18,131,32.0,0.0,
2023-08-18,19,131,31.2,0.0,
2023-08-18,20,131,25.5,18.1,
2023-08-18,21,131,26.0,0.0,
2023-08-18,22,131,26.4,0.0,
2023-08-18,23,131,26.6,0.0,
2023-08-19,0,131,26.3,0.0,
2023-08-19,1,131,26.3,0.0,
2023-08-19,2,131,26.0,0.0,
2023-08-19,3,131,25.8,0.0,
2023-08-19,4,131,25.7,0.0,
2023-08-19,5,131,25.6,0.0,
2023-08-19,6,131,25.1,0.0,
2023-08-19,7,131,26.2,0.0,
2023-08-19,8,131,27.1,0.0,
2023-08-19,9,131,28.5,0.0,
2023-08-19,10,131,28.6,0.0,
2023-08-19,11,131,31.1,0.0,
2023-08-19,12,131,31.7,0.0,
2023-08-19,13,131,31.7,0.0,
2023-08-19,14,131,32.6,0.0,
2023-08-19,15,131,33.7,0.0,
2023-08-19,16,131,32.9,0.0,
2023-08-19,17,131,33.5,0.0,
2023-08-19,18,131,32.7,0.0,
2023-08-19,19,131,31.3,0.0,
2023-08-19,20,131,29.8,0.0,
2023-08-19,21,131,28.8,0.0,
2023-08-19,22,131,28.3,0.0,
2023-08-19,23,131,28.1,0.0,
2023-08-20,0,131,27.7,0.0,
2023-08-20,1,131,27.1,0.0,
2023-08-20,2,131,26.7,0.0,
2023-08-20,3,131,26.5,0.0,
2023-08-20,4,131,26.3,0.0,
2023-08-20,5,131,26.2,0.0,
2023-08-20,6,131,26.4,0.0,
2023-08-20,7,131,26.5,0.0,
2023-08-20,8,131,27.1,0.0,
2023-08-20,9,131,28.0,0.0,
2023-08-20,10,131,29.3,0.0,
2023-08-20,11,131,31.2,0.0,
2023-08-20,12,131,32.5,0.0,
2023-08-20,13,131,32.7,0.0,
2023-08-20,14,131,33.6,0.0,
2023-08-20,15,131,33.2,0.0,
2023-08-20,16,131,33.4,0.0,
2023-08-20,17,131,33.7,0.0,
2023-08-20,18,131,32.8,0.0,
2023-08-20,19,131,29.7,0.0,
2023-08-20,20,131,28.2,0.0,
2023-08-20,21,131,27.9,0.0,
2023-08-20,22,131,27.4,0.0,
2023-08-20,23,131,27.0,0.0,
2023-08-21,0,131,26.7,0.0,
2023-08-21,1,131,27.1,0.0,
2023-08-21,2,131,26.6,0.0,
2023-08-21,3,131,26.7,0.0,
2023-08-21,4,131,26.5,0.0,
2023-08-21,5,131,26.3,0.0,
2023-08-21,6,131,26.3,0.0,
2023-08-21,7,131,27.1,0.0,
2023-08-21,8,131,27.8,0.0,
2023-08-21,9,131,28.3,0.0,
2023-08-21,10,131,30.2,0.0,
2023-08-21,11,131,32.0,0.0,
2023-08-21,12,131,31.5,0.0,
2023-08-21,13,131,32.8,0.0,
2023-08-21,14,131,32.8,0.0,
2023-08-21,15,131,34.2,0.0,
2023-08-21,16,131,34.4,0.0,
2023-08-21,17,131,33.7,0.0,
2023-08-21,18,131,33.5,0.0,
2023-08-21,19,131,31.7,0.0,
2023-08-21,20,131,31.2,0.0,
2023-08-21,21,131,30.8,0.0,
2023-08-21,22,131,29.7,0.0,
2023-08-21,23,131,29.4,0.0,
2023-08-22,0,131,28.8,0.0,
2023-08-22,1,131,28.6,0.0,
2023-08-22,2,131,27.8,0.0,
2023-08-22,3,131,27.3,0.0,
2023-08-22,4,131,27.1,0.0,
2023-08-22,5,131,26.6,0.0,
2023-08-22,6,131,26.8,0.0,
2023-08-22,7,131,27.0,0.0,
2023-08-22,8,131,28.5,0.0,
2023-08-22,9,131,30.5,0.0,
2023-08-22,10,131,31.2,0.0,
2023-08-22,11,131,31.0,0.0,
2023-08-22,12,131,31.8,0.0,
2023-08-22,13,131,32.8,0.0,
2023-08-22,14,131,32.8,0.0,
2023-08-22,15,131,33.6,0.0,
2023-08-22,16,131,30.4,0.0,
2023-08-22,17,131,28.2,0.0,
2023-08-22,18,131,28.8,0.0,
2023-08-22,19,131,28.7,0.0,
2023-08-22,20,131,27.2,0.0,
2023-08-22,21,131,26.3,0.0,
2023-08-22,22,131,26.6,0.0,
2023-08-22,23,131,26.5,0.0,
2023-08-23,0,131,26.7,0.0,
2023-08-23,1,131,27.1,0.0,
